parameter,Location name,Start date,End date,removal start date,removal end date,mixing day,Htank,ri,annual manure input (m),manure input days,feeder days,Freeboard,Sludge,Initial manure depth,manure volume removed,Total volatile solid,"Income manure Temp, amplitude, and phase constant",Latitude,Solar absorptivity,Extraterrestrial solar flux density,Atmospheric transimttance,Altitude,Emissivity,Soil density,Soil thermal conductivity ,Soil specific heat,air thermal conductivity,Teten's constant,freezing and thawing point,"snow min crit, max crit, melt r, sublimation threshold, sublimation r"
value,Tjele,10/1/2020,10/1/2021,11/8/2020,11/9/2020,1,5.5,18,0.035769231,39,0,0.3,0.5,0.73,400,0.08,12,56.498,0.85,1395,0.75,40,0.925,1800,1.7,1220,0.045,0.611,272.45,-12
,,,,11/11/2020,11/16/2020,1,,,0.455,3,,,,,2600,,4,,,,,,,,,,,16.6269,273.15,2
,,,,12/13/2020,12/16/2020,,,,0.039553914,28,,,,,800,,4.1,,,,,,,,,,,253.0185,,0.052
,,,,2/7/2021,2/10/2021,,,,0.030498557,55,,,,,1000,,,,,,,,,,,,,21.87,,2
,,,,3/3/2021,3/25/2021,,,,0.054675325,22,,,,,2000,,,,,,,,,,,,,265.5,,0.25
,,,,4/13/2021,4/17/2021,,,,0.030962406,20,,,,,1000,,,,,,,,,,,,,,,
,,,,7/3/2021,7/5/2021,,,,0.008170408,49,,,,,100,,,,,,,,,,,,,,,
,,,,8/7/2021,8/10/2021,,,,0,67,,,,,100,,,,,,,,,,,,,,,
,,,,,,,,,0.001124392,52,,,,,,,,,,,,,,,,,,,,
