parameter,Location name,Start date,End date,removal start date,removal end date,mixing day,Htank,ri,"annual manure input (m3), pig amount (pigs), wash water per pig (kg)",manure input factor,feeder days,Freeboard,Sludge,Initial manure depth,manure volume removed,Total volatile solid,Temp phase constant,Latitude,Solar absorptivity,Extraterrestrial solar flux density,Atmospheric transimttance,Altitude,Emissivity,Soil density,Soil thermal conductivity ,Soil specific heat
value,OR,5/1/2020,4/30/2023,7/8/2020,7/9/2020,5,3.6,15,7000,1,118,0.3,0.5,0.67,480,0.08,4.1,59.6947,0.85,1395,0.75,13,0.925,1800,1.7,1220
,,,,8/30/2020,9/4/2020,,,,3000,0.3,,,,,1300,,,,,,,,,,,
,,,,10/17/2020,10/18/2020,,,,10,0.5,,,,,485,,,,,,,,,,,
,,,,2/28/2021,3/2/2021,,,,,,,,,,770,,,,,,,,,,,
,,,,7/8/2020,7/9/2020,,,,,,,,,,,,,,,,,,,,,
,,,,8/30/2020,9/4/2020,,,,,,,,,,,,,,,,,,,,,
,,,,10/17/2020,10/18/2020,,,,,,,,,,,,,,,,,,,,,
,,,,2/28/2021,3/2/2021,,,,,,,,,,,,,,,,,,,,,
,,,,7/8/2021,7/9/2021,,,,,,,,,,,,,,,,,,,,,
,,,,8/30/2021,9/4/2021,,,,,,,,,,,,,,,,,,,,,
,,,,10/17/2021,10/18/2021,,,,,,,,,,,,,,,,,,,,,
,,,,2/28/2022,3/2/2022,,,,,,,,,,,,,,,,,,,,,
,,,,7/8/2022,7/9/2022,,,,,,,,,,,,,,,,,,,,,
,,,,8/30/2022,9/4/2022,,,,,,,,,,,,,,,,,,,,,
,,,,10/17/2022,10/18/2022,,,,,,,,,,,,,,,,,,,,,
,,,,2/28/2023,3/2/2023,,,,,,,,,,,,,,,,,,,,,
